Subgroup,N,Accuracy,Precision,Recall,F1,Prevalence,AUC,Brier,Model,Dataset,Demographic_Parity_Diff,Equalized_Odds_Diff
Mexican American | 60+ | Male,135,0.7407407407407407,0.8780487804878049,0.5454545454545454,0.6728971962616822,0.4888888888888889,0.801602986385595,0.1964756145802379,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic Asian | 18-39 | Female,205,0.9804878048780488,0.0,0.0,0.0,0.01951219512195122,0.6106965174129353,0.03767524705168399,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic Asian | 18-39 | Male,176,0.9602272727272727,0.5,0.2857142857142857,0.36363636363636365,0.03977272727272727,0.8537616229923922,0.049456386475251565,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic Asian | 40-59 | Female,226,0.8672566371681416,0.8333333333333334,0.2631578947368421,0.4,0.168141592920354,0.8218085106382979,0.11791880662639491,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic Asian | 40-59 | Male,197,0.8426395939086294,0.8823529411764706,0.3409090909090909,0.4918032786885246,0.2233502538071066,0.8296197266785501,0.13219133767750185,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic Asian | 60+ | Female,144,0.75,0.8260869565217391,0.37254901960784315,0.5135135135135135,0.3541666666666667,0.7727176892262282,0.18333432936216632,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic Asian | 60+ | Male,123,0.6585365853658537,1.0,0.2631578947368421,0.4166666666666667,0.4634146341463415,0.7434875066454013,0.22039307615296905,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic Black | 18-39 | Female,429,0.9114219114219114,0.2631578947368421,0.5,0.3448275862068966,0.046620046620046623,0.8140586797066015,0.08253553502449383,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic Black | 18-39 | Male,328,0.9573170731707317,0.26666666666666666,0.5714285714285714,0.36363636363636365,0.021341463414634148,0.919448153093013,0.050192259825025336,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic Black | 40-59 | Female,399,0.681704260651629,0.39375,0.6774193548387096,0.4980237154150198,0.23308270676691728,0.7500175697519151,0.19581778893823953,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic Black | 40-59 | Male,349,0.7822349570200573,0.4883720930232558,0.5675675675675675,0.525,0.21203438395415472,0.8162899262899264,0.15802900230023448,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic Black | 60+ | Female,398,0.6708542713567839,0.5273972602739726,0.5539568345323741,0.5403508771929825,0.3492462311557789,0.7231049137523958,0.2070451934851091,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic Black | 60+ | Male,423,0.7210401891252955,0.6728971962616822,0.4645161290322581,0.549618320610687,0.3664302600472813,0.7453177660086664,0.19605867774051466,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic White | 18-39 | Female,475,0.9284210526315789,0.25,0.4444444444444444,0.32,0.037894736842105266,0.8482859226841721,0.06631501291349651,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic White | 18-39 | Male,425,0.9482352941176471,0.28,0.6363636363636364,0.3888888888888889,0.02588235294117647,0.7905138339920947,0.06266365234857406,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic White | 40-59 | Female,420,0.8047619047619048,0.3761467889908257,0.7454545454545455,0.5,0.13095238095238096,0.8655043586550436,0.14286700588225518,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic White | 40-59 | Male,412,0.8106796116504854,0.43037974683544306,0.5074626865671642,0.4657534246575342,0.16262135922330098,0.7930780878217608,0.15024083874877167,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic White | 60+ | Female,627,0.7751196172248804,0.5168539325842697,0.6258503401360545,0.5661538461538461,0.23444976076555024,0.830392573696145,0.17854162624278042,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Non-Hispanic White | 60+ | Male,667,0.7856071964017991,0.6666666666666666,0.6116504854368932,0.6379746835443038,0.30884557721139433,0.8151548975422782,0.1844863626548311,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Other Hispanic | 18-39 | Female,174,0.9597701149425287,0.0,0.0,0.0,0.022988505747126436,0.6941176470588235,0.05982457338163088,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Other Hispanic | 18-39 | Male,150,0.9533333333333334,0.25,0.2,0.2222222222222222,0.03333333333333333,0.9351724137931035,0.05441093266057986,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Other Hispanic | 40-59 | Female,149,0.7919463087248322,0.5769230769230769,0.42857142857142855,0.4918032786885246,0.2348993288590604,0.8360902255639098,0.15566898808694013,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Other Hispanic | 40-59 | Male,130,0.8076923076923077,0.5517241379310345,0.5714285714285714,0.5614035087719298,0.2153846153846154,0.8189775910364147,0.1573249632911415,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Other Hispanic | 60+ | Female,155,0.6451612903225806,0.45652173913043476,0.4117647058823529,0.4329896907216495,0.32903225806451614,0.7062594268476622,0.20285286848354173,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Other Hispanic | 60+ | Male,146,0.6506849315068494,0.6052631578947368,0.3898305084745763,0.4742268041237113,0.4041095890410959,0.7050457821936489,0.20950203692707708,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Other Race | 18-39 | Female,90,0.9333333333333333,0.4,0.4,0.4,0.05555555555555555,0.9670588235294117,0.058144073027658304,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Other Race | 18-39 | Male,92,0.967391304347826,0.6666666666666666,0.5,0.5714285714285714,0.043478260869565216,0.8835227272727272,0.054186383688297646,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Other Race | 40-59 | Female,61,0.8688524590163934,0.6,0.6,0.6,0.16393442622950818,0.8666666666666667,0.1389177345907535,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Other Race | 40-59 | Male,77,0.7402597402597403,0.55,0.5,0.5238095238095238,0.2857142857142857,0.7413223140495868,0.1788753775071437,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Other Race | 60+ | Female,47,0.6382978723404256,0.4166666666666667,0.3333333333333333,0.37037037037037035,0.3191489361702128,0.7208333333333333,0.20255633535776021,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Other Race | 60+ | Male,60,0.7666666666666667,0.8095238095238095,0.6296296296296297,0.7083333333333334,0.45,0.8310886644219977,0.1872047786161948,NeuralNet,NHANES,0.1710240989488372,0.30762852404643454
Unknown | 18-39 | Unknown | Unknown,91408,0.9052927533695081,0.13743857493857495,0.22744599745870395,0.1713410548482818,0.04304874846840539,0.698649048373627,0.10823819571608562,LogReg,BRFSS,,
Unknown | 40-59 | Unknown | Unknown,144459,0.7015762257803252,0.23609594128183845,0.5704032087819295,0.33396162284089853,0.13116524411770814,0.7019018511140054,0.20703947241105142,LogReg,BRFSS,,
Unknown | 60+ | Unknown | Unknown,204791,0.48632019961814726,0.2790291925281383,0.8229073153642356,0.41674844618907425,0.2230127300516136,0.6718675557330333,0.2768966135593295,LogReg,BRFSS,,
Unknown | 18-39 | Unknown | Unknown,91408,0.7201339051286539,0.08420729130651915,0.5570520965692504,0.14629913902422745,0.04304874846840539,0.672292338208671,0.14702773060663013,RandomForest,BRFSS,,
Unknown | 40-59 | Unknown | Unknown,144459,0.5162364407894281,0.180812131846096,0.7613996200126663,0.2922279163037534,0.13116524411770814,0.619239766958702,0.25406313609582976,RandomForest,BRFSS,,
Unknown | 60+ | Unknown | Unknown,204791,0.7532850564722082,0.3034499514091351,0.08204330975892798,0.1291645840155811,0.2230127300516136,0.6390887078137129,0.1775433395974759,RandomForest,BRFSS,,
Unknown | 18-39 | Unknown | Unknown,91408,0.9330583756345178,0.17364016736401675,0.14764930114358324,0.1595934624364785,0.04304874846840539,0.7041013752059794,0.07515836514316693,NeuralNet,BRFSS,,
Unknown | 40-59 | Unknown | Unknown,144459,0.8190905377996525,0.3115888830624017,0.31359510238547605,0.3125887737387553,0.13116524411770814,0.6992041024365016,0.162101707115012,NeuralNet,BRFSS,,
Unknown | 60+ | Unknown | Unknown,204791,0.7478648964065804,0.40932311621966794,0.2947384554750279,0.3427065697518999,0.2230127300516136,0.6721571710356908,0.19822058262675576,NeuralNet,BRFSS,,
